Tipo;Orgao;DataCriacao;Assunto;Subdivisao;Situacao;Logradouro;Bairro;Regional;DataResposta;Origem;
Solicitação;FUNDAÇÃO DE AÇÃO SOCIAL;01/01/2025;Disque Solidariedade;Doações;Aberto;Rua Rezala Simão;SANTA QUITERIA;Unidade Regional Portao;;Telefone;
Solicitação;FUNDAÇÃO DE AÇÃO SOCIAL;01/01/2025;Abordagem social de rua - Adulto e Idoso;Esmolando;Respondido;Rua Coronel Luiz José Dos Santos;BOQUEIRAO;Unidade Regional Boqueirao;01/01/2025;Telefone;
Solicitação;FUNDAÇÃO DE AÇÃO SOCIAL;01/01/2025;Abordagem social de rua - Adulto e Idoso;Esmolando;Respondido;RUA PADRE ANCHIETA;BIGORRILHO;Unidade Regional Matriz;01/01/2025;Telefone;
Solicitação;FUNDAÇÃO DE AÇÃO SOCIAL;01/01/2025;Abordagem social de rua - Adulto e Idoso;Esmolando;Concluído;RUA ENGENHEIRO BENEDITO MÁRIO DA SILVA;CAJURU;Unidade Regional Cajuru;01/01/2025;Telefone;
Solicitação;FUNDAÇÃO DE AÇÃO SOCIAL;01/01/2025;Abordagem social de rua - Adulto e Idoso;Adulto desaparecido;Respondido;Rua Vereador Elias Karam;FAZENDINHA;Unidade Regional Portao;01/01/2025;Telefone;
Solicitação;FUNDAÇÃO DE AÇÃO SOCIAL;01/01/2025;Abordagem social de rua - Adulto e Idoso;Perdida/Desorientada;Respondido;RUA PADRE ANCHIETA;BIGORRILHO;Unidade Regional Matriz;01/01/2025;Telefone;
Solicitação;FUNDAÇÃO DE AÇÃO SOCIAL;01/01/2025;Abordagem social de rua - Adulto e Idoso;Perdida/Desorientada;Respondido;RUA RAPOSO TAVARES;PILARZINHO;Unidade Regional Boa Vista;01/01/2025;Telefone;
Solicitação;FUNDAÇÃO DE AÇÃO SOCIAL;01/01/2025;Abordagem social de rua - Adulto e Idoso;Perdida/Desorientada;Respondido;Rua Antônio Andriguetto;UBERABA;Unidade Regional Cajuru;01/01/2025;Telefone;
Solicitação;FUNDAÇÃO DE AÇÃO SOCIAL;01/01/2025;Abordagem social de rua - Adulto e Idoso;Perdida/Desorientada;Aberto;Avenida Presidente Affonso Camargo;JARDIM BOTANICO;Unidade Regional Matriz;;Telefone;
Solicitação;FUNDAÇÃO DE AÇÃO SOCIAL;01/01/2025;Abordagem social de rua - Adulto e Idoso;Perdida/Desorientada;Respondido;Avenida João Gualberto;JUVEVE;Unidade Regional Matriz;01/01/2025;Chat;
